Date,Open,High,Low,Close ,Adj Close ,Volume,Month-over-month
"Aug 1, 2023",130.78,138,126.38,136.17,135.15,593329000,0.0260400850288491
"Jul 1, 2023",119.24,133.74,115.35,132.72,131.72,708341900,0.108754208754209
"Jun 1, 2023",122.82,129.04,116.1,119.7,118.8,656851900,-0.0258302583025831
"May 1, 2023",106.84,126.43,103.71,122.87,121.95,820611200,0.144640510606345
"Apr 1, 2023",102.39,109.17,101.93,107.34,106.54,604106300,0.0348712967459932
"Mar 1, 2023",89.98,106.59,89.42,103.73,102.95,859933900,0.151823674200045
"Feb 1, 2023",98.71,108.18,88.58,90.06,89.38,952580200,-0.0888888888888889
"Jan 1, 2023",89.59,100.32,84.86,98.84,98.1,672897800,0.120246659815005
"Dec 1, 2022",101.02,102.25,85.94,88.23,87.57,603127800,-0.126309488177193
"Nov 1, 2022",95.45,101.04,83.34,100.99,100.23,716522700,0.0685501066098082
"Oct 1, 2022",96.76,104.82,91.8,94.51,93.8,681488300,-0.0119035078478881
"Sep 1, 2022",108.28,111.62,95.56,95.65,94.93,613278900,-0.116190298854855
"Aug 1, 2022",115.3,122.43,107.8,108.22,107.41,515852700,-0.069640537029017
"Jul 1, 2022",107.93,119.68,104.07,116.32,115.45,789529700,0.0674988441978732
"Jun 1, 2022",114.86,119.35,105.05,108.96,108.15,770754000,-0.0421574705517668
"May 1, 2022",113.4,122.85,101.88,113.76,112.91,850450000,-0.00300220750551883
"Apr 1, 2022",139.5,143.71,112.74,114.11,113.25,761152000,-0.179466743950152
"Mar 1, 2022",134.88,143.79,125.28,139.07,138.02,729162000,0.0296926290659505
"Feb 1, 2022",137.59,151.55,124.95,135.06,134.04,928126000,-0.0018616427135304
"Jan 1, 2022",145.05,146.49,124.5,135.3,134.29,767206000,-0.065938652013633
"Dec 1, 2021",144,149.1,139.32,144.85,143.77,619694000,0.0208762337570121
"Nov 1, 2021",148.05,150.97,141.6,141.9,140.83,608378000,-0.0415815979311283
"Oct 1, 2021",134.45,148.65,131.05,148.05,146.94,720758000,0.107560111554986
"Sep 1, 2021",145,146.25,133.56,133.68,132.67,590840000,-0.0761785390989487
"Aug 1, 2021",135.12,145.97,133.32,144.7,143.61,461586000,0.0739605145079272
"Jul 1, 2021",121.72,138.3,121.53,134.73,133.72,610808000,0.103573491788396
"Jun 1, 2021",118.72,123.1,116.48,122.09,121.17,544936000,0.0359952120383038
"May 1, 2021",118.25,119.45,109.68,117.84,116.96,603480000,0.00145560407569123
"Apr 1, 2021",104.61,121.57,104.57,117.68,116.79,702352000,0.141084513922814
"Mar 1, 2021",102.4,105.69,99.7,103.13,102.35,756694000,0.0200318915686664
"Feb 1, 2021",92.23,107.26,92.23,101.1,100.34,678324000,0.10652845169828
"Jan 1, 2021",88,96.6,84.81,91.37,90.68,791662000,0.0426583879498679
"Dec 1, 2020",88.33,92.19,84.7,87.63,86.97,608630000,-0.00103376981392145
"Nov 1, 2020",81.18,90.84,80.61,87.72,87.06,631912000,0.0855361596009976
"Oct 1, 2020",74.18,84.07,71.66,80.81,80.2,854920000,0.102708648425684
"Sep 1, 2020",81.61,86.31,70.11,73.28,72.73,836634000,-0.100655372820576
"Aug 1, 2020",74.55,82.64,73.2,81.48,80.87,614564000,0.0952058504875406
"Jul 1, 2020",70.96,79.35,70.71,74.4,73.84,822998000,0.0493107858462414
"Jun 1, 2020",71.29,73.79,67.58,70.9,70.37,814160000,-0.0108237278605566
"May 1, 2020",66.2,72.26,64.8,71.68,71.14,725130000,0.0644919946131977
"Apr 1, 2020",56.2,68.01,53.75,67.33,66.83,1124224000,0.159035726673604
"Mar 1, 2020",67.57,70.41,50.44,58.1,57.66,1570716000,-0.13241047246464
"Feb 1, 2020",73.08,76.54,63.41,66.96,66.46,830656000,-0.0652601969057666
"Jan 1, 2020",67.42,75.03,67.32,71.64,71.1,673594000,0.0696554836768466
"Dec 1, 2019",65.13,68.35,63.85,66.97,66.47,559106000,0.0270395550061804
"Nov 1, 2019",63.29,66.7,62.99,65.2,64.72,528780000,0.0360172882983831
"Oct 1, 2019",61.12,64.96,58.16,62.94,62.47,603634000,0.0308580858085807
"Sep 1, 2019",59.09,62.4,58.19,61.06,60.6,517072000,0.025727826675694
"Aug 1, 2019",60.88,61.81,57.14,59.53,59.08,586310000,-0.0226633581472292
"Jul 1, 2019",55.05,63.42,54.77,60.91,60.45,715104000,0.125069793411502
"Jun 1, 2019",53.35,56.33,51.35,54.14,53.73,712452000,-0.0214897104352577
"May 1, 2019",59.88,59.96,55.17,55.33,54.91,742726000,-0.0771428571428572
"Apr 1, 2019",59.38,64.85,59.15,59.95,59.5,647446000,0.0188356164383563
"Mar 1, 2019",56.55,61.82,56.51,58.84,58.4,663738000,0.0445358612055089
"Feb 1, 2019",56.11,57.7,54.68,56.33,55.91,652174000,0.000715947735815181
