Date,Open,High,Low,Close ,Adj Close ,Volume
"Feb 1, 2019",138.7,144.88,137.12,143.46,128.87,55106400
"Jan 1, 2019",125.75,138.77,124.57,138.53,124.44,84377600
"Dec 24, 2018",0.721 Dividend,,,,,
"Dec 1, 2018",143.6,144,119.35,127.63,113.98,153337500
"Nov 1, 2018",139.04,144.06,134.64,141.35,126.24,65616800
"Oct 1, 2018",150.42,150.77,133.07,138.56,123.74,102555400
"Sep 28, 2018",0.714 Dividend,,,,,
"Sep 1, 2018",149.89,151.84,148.13,149.65,133.01,41556400
"Aug 1, 2018",145.19,150.77,144.08,150.07,133.39,48207300
"Jul 1, 2018",139.56,146.74,139.43,145.09,128.96,43863400
"Jun 22, 2018",0.603 Dividend,,,,,
"Jun 1, 2018",140.93,144.66,138.99,140.43,124.29,43805700
"May 1, 2018",136.04,141.66,133.66,140.04,123.95,35896100
"Apr 1, 2018",135.29,139.85,131.26,136.33,120.66,54901800
"Mar 22, 2018",0.566 Dividend,,,,,
"Mar 1, 2018",139.07,144.14,133.03,135.72,119.64,61542800
"Feb 1, 2018",143.98,145.02,129.84,139,122.53,83283100
"Jan 1, 2018",137.75,146.87,137.44,144.43,127.32,62220300
"Dec 21, 2017",0.673 Dividend,,,,,
"Dec 1, 2017",136.28,138.72,134.04,137.25,120.4,47008100
"Nov 1, 2017",132.83,136.92,131.21,136.34,119.6,51557600
"Oct 1, 2017",129.64,132.68,129.55,132.33,116.08,45623500
"Sep 22, 2017",0.553 Dividend,,,,,
"Sep 1, 2017",127.23,129.56,125.69,129.52,113.13,34356600
"Aug 1, 2017",127.18,127.72,123.79,126.98,110.91,43312100
"Jul 1, 2017",124.99,127.6,123.56,126.79,110.74,36743500
"Jun 21, 2017",0.575 Dividend,,,,,
"Jun 1, 2017",124.17,126.35,123.48,124.45,108.2,47247300
"May 1, 2017",122.93,124.27,120.85,123.85,107.68,44574100
"Apr 1, 2017",121.45,123.45,119.55,122.61,106.6,44638400
"Mar 24, 2017",0.542 Dividend,,,,,
"Mar 1, 2017",122.81,123.73,118.89,121.32,105.01,56449700
"Feb 1, 2017",117.86,122.36,117.02,121.8,105.42,40730300
"Jan 1, 2017",116.15,118.62,115.49,117.46,101.66,48051100
"Dec 20, 2016",0.727 Dividend,,,,,
"Dec 1, 2016",114.03,117.79,113.07,115.32,99.19,60923800
"Nov 1, 2016",109.1,114.55,106.69,113.78,97.87,69435500
"Oct 1, 2016",111.09,111.44,108.47,108.89,93.66,40599800
"Sep 13, 2016",0.539 Dividend,,,,,
"Sep 1, 2016",111.77,112.75,108.57,111.33,95.3,48063700
"Aug 1, 2016",111.4,112.78,109.95,111.65,95.57,35978700
"Jul 1, 2016",107.16,111.62,105.88,111.42,95.37,44259000
"Jun 14, 2016",0.469 Dividend,,,,,
"Jun 1, 2016",107,108.93,101.51,107.16,91.32,61626300
"May 1, 2016",105.8,107.69,103.37,107.34,91.48,51264200
"Apr 1, 2016",104.3,107.64,103.44,105.51,89.92,48652200
"Mar 15, 2016",0.48 Dividend,,,,,
"Mar 1, 2016",99.13,105.39,98.84,104.82,88.91,65327600
"Feb 1, 2016",97.75,99.76,91.58,98.32,83.4,76383600
"Jan 1, 2016",102.58,103.18,91.79,98.33,83.41,115170300
"Dec 21, 2015",0.583 Dividend,,,,,
"Dec 1, 2015",107.59,108.27,102.18,104.3,87.97,80603800
"Nov 1, 2015",106.78,108.57,103.69,107.17,90.39,46636300
"Oct 1, 2015",98.96,107.28,97.38,106.53,89.85,51492200
"Sep 25, 2015",0.508 Dividend,,,,,
"Sep 1, 2015",99.95,105.02,96.37,98.72,82.84,85764400
"Aug 1, 2015",108.99,109.34,93,102.21,85.77,96894400
"Jul 1, 2015",108.02,110.21,105.91,108.84,91.34,59875400
"Jun 26, 2015",0.468 Dividend,,,,,
"Jun 1, 2015",109.8,110.9,106.65,107.02,89.42,54243000
"May 1, 2015",108.4,110.68,107.01,109.31,91.34,43874400
"Apr 1, 2015",107.34,110.28,106.39,107.91,90.17,56948600
"Mar 25, 2015",0.508 Dividend,,,,,
"Mar 1, 2015",109.11,110.09,105.98,107.25,89.2,58712900
"Feb 1, 2015",103.49,109.78,102.25,109.02,90.67,53521900
"Jan 1, 2015",106.49,106.72,102.42,103.1,85.75,74157900
"Dec 22, 2014",0.561 Dividend,,,,,
"Dec 1, 2014",106.5,107.71,101.8,106,87.7,82042000
"Nov 1, 2014",104.19,107.07,103.15,106.6,88.19,39784800
"Oct 1, 2014",101.11,104.2,93.58,104.02,86.06,82853100
"Sep 24, 2014",0.465 Dividend,,,,,
"Sep 1, 2014",104.04,104.59,100.9,101.24,83.38,42236800
"Aug 1, 2014",99.55,103.96,98.56,103.88,85.55,46034900
"Jul 1, 2014",102.07,103,99.74,99.74,82.14,34090000
"Jun 24, 2014",0.42 Dividend,,,,,
"Jun 1, 2014",99.8,102.25,99.16,101.77,83.47,36786300
"May 1, 2014",97.41,99.68,96.16,99.58,81.67,31401800
"Apr 1, 2014",97.89,98.85,94.03,97.53,79.99,60159200
"Mar 25, 2014",0.423 Dividend,,,,,
"Mar 1, 2014",96.57,98.85,95.69,97.47,79.6,57314600
"Feb 1, 2014",92.84,97.86,90.39,97.4,79.54,56538100
